State/UT,Straight Road,Curved Road,Bridge,Culvert,Pot Holes,Steep Grade,Ongoing Road Works/Under Construction,Others
Andhra Pradesh,16661,2668,716,291,95,48,285,1228
Arunachal Pradesh,39,21,36,27,12,20,30,52
Assam,4378,1059,705,454,322,189,392,851
Bihar,6255,2204,261,311,0,142,18,816
Chhattisgarh,8558,2154,357,292,77,88,233,2140
Goa,2678,729,15,13,5,0,0,0
Gujarat,13718,2092,546,273,5,204,206,2
Haryana,4804,942,408,296,61,161,300,3972
Himachal Pradesh,1889,762,38,0,21,114,42,7
Jammu and Kashmir,1299,441,28,17,1,33,52,3925
Jharkhand,2349,1138,273,191,120,132,88,926
Karnataka,33070,5573,1259,76,113,117,426,24
Kerala,26543,6938,358,116,57,60,170,6869
Madhya Pradesh,28405,6211,1201,1122,339,959,2253,10179
Maharashtra,25370,4271,810,538,181,898,829,28
Manipur,451,146,30,25,2,0,5,13
Meghalaya,209,115,9,3,2,1,0,143
Mizoram,32,25,0,0,0,3,1,1
Nagaland,123,27,0,60,14,19,112,3
Orissa,5975,2240,383,364,218,61,569,1254
Punjab,3272,828,414,436,102,137,442,717
Rajasthan,18804,1502,157,122,92,46,252,2505
Sikkim,52,51,1,0,7,10,7,34
Tamil Nadu,43262,8250,2394,1236,502,506,645,433
Telangana,16016,1523,570,396,146,50,353,2516
Tripura,396,218,28,12,0,0,0,1
Uttarakhand,976,206,22,15,26,12,27,68
Uttar Pradesh,15366,6721,2991,2496,2122,1581,3434,7861
West Bengal,8358,1065,250,151,61,15,258,0
Andaman and Nicobar Islands,119,94,2,5,0,10,0,0
Chandigarh,305,0,0,0,0,0,0,0
Dadra and Nagar Haveli,50,17,1,0,0,0,0,0
Daman and Diu,46,16,7,0,0,0,0,0
Delhi,3434,443,256,38,72,13,154,1200
Lakshadweep,1,0,0,0,0,0,0,0
Puducherry,729,198,141,0,0,2,0,322
