States/UTs,Sunny/Clear ,Rainy,Foggy and Misty,Hail/Sleet,Others
Andhra Pradesh,17340,874,1040,138,2600
Arunachal Pradesh,62,49,36,38,52
Assam,4322,1862,1163,201,802
Bihar,4217,2203,2781,0,806
Chhattisgarh,9033,1535,885,54,2392
Goa,3131,309,0,0,0
Gujarat,15014,1364,668,0,0
Haryana,4619,1555,1836,394,2540
Himachal Pradesh,2501,183,16,9,164
Jammu and Kashmir,3838,148,30,0,1780
Jharkhand,2363,828,657,195,1174
Karnataka,35753,3181,1654,70,0
Kerala,35197,4571,1343,0,0
Madhya Pradesh,34681,5549,2946,336,7157
Maharashtra,31536,1186,184,7,12
Manipur,394,148,75,10,45
Meghalaya,181,20,13,0,268
Mizoram,44,9,3,0,6
Nagaland,130,91,108,0,29
Orissa,6410,1810,1112,485,1247
Punjab,3416,587,973,246,1126
Rajasthan,21428,355,350,5,1342
Sikkim,79,21,22,8,32
Tamil Nadu,48302,2761,5935,22,208
Telangana,18171,66,309,77,2947
Tripura,534,48,51,0,22
Uttarakhand,1087,162,51,2,50
Uttar Pradesh,17703,7001,8031,1715,8122
West Bengal,4951,328,441,31,4407
Andaman and Nicobar Island,182,48,0,0,0
Chandigarh,299,4,2,0,0
Dadra and Nagar Haveli,32,17,19,0,0
Daman and Diu,52,9,5,0,3
Delhi,2636,800,863,0,1311
Lakshadweep,1,0,0,0,0
Puducherry,656,143,0,0,593
